song_title,album_name
1989_Booklet_,1989
Style,1989
HowYouGetTheGirl,1989
IWishYouWould,1989
BlankSpace,1989
WildestDreams,1989
ThisLove,1989
OutOfTheWoods,1989
AllYouHadtoDoWasStay,1989
WelcometoNewYork,1989
BadBlood,1989
Clean,1989
IKnowPlaces,1989
ShakeItOff,1989
AllTooWell_10MinuteVersion__TheShortFilm_,AllTooWell_10MinuteVersion__TheShortFilm__EP
Anti_Hero,Anti_Hero_Remixes_
Anti_Hero_JaydaGRemix_,Anti_Hero_Remixes_
Anti_Hero_RooseveltRemix_,Anti_Hero_Remixes_
Anti_Hero_Remix_,Anti_Hero_Remixes_
Anti_Hero_KungsRemix_,Anti_Hero_Remixes_
Carolina,Carolina_FromTheMotionPictureWhereTheCrawdadsSing_
Carolina_VideoVersion_,Carolina_FromTheMotionPictureWhereTheCrawdadsSing_
marjorie,Evermore
nobody_nocrime,Evermore
longstoryshort,Evermore
tisthedamnseason,Evermore
coneyisland,Evermore
ivy,Evermore
dorothea,Evermore
tolerateit,Evermore
happiness,Evermore
evermore,Evermore
cowboylikeme,Evermore
willow,Evermore
goldrush,Evermore
champagneproblems,Evermore
closure,Evermore
YouBelongWithMe,Fearless
Fearless_LinerNotes_,Fearless
Breathe,Fearless
Change,Fearless
TheWayILovedYou,Fearless
HeyStephen,Fearless
WhiteHorse,Fearless
Forever_Always,Fearless
TellMeWhy,Fearless
Fifteen,Fearless
YoureNotSorry,Fearless
LoveStory,Fearless
TheBestDay,Fearless
Fearless,Fearless
WhiteHorse,Fearless_PlatinumEdition_
Forever_Always,Fearless_PlatinumEdition_
HeyStephen,Fearless_PlatinumEdition_
Change,Fearless_PlatinumEdition_
LoveStory,Fearless_PlatinumEdition_
ComeInWiththeRain,Fearless_PlatinumEdition_
YouBelongWithMe,Fearless_PlatinumEdition_
TheBestDay,Fearless_PlatinumEdition_
Untouchable,Fearless_PlatinumEdition_
TellMeWhy,Fearless_PlatinumEdition_
Fearless,Fearless_PlatinumEdition_
Breathe,Fearless_PlatinumEdition_
Fifteen,Fearless_PlatinumEdition_
SuperStar,Fearless_PlatinumEdition_
JumpThenFall,Fearless_PlatinumEdition_
Forever_Always_PianoVersion_,Fearless_PlatinumEdition_
TheOtherSideOfTheDoor,Fearless_PlatinumEdition_
TheWayILovedYou,Fearless_PlatinumEdition_
YoureNotSorry,Fearless_PlatinumEdition_
TodayWasaFairytale_TaylorsVersion_,Fearless_TaylorsVersion_
Superstar_TaylorsVersion_,Fearless_TaylorsVersion_
YouAllOverMe_TaylorsVersion__FromtheVault_,Fearless_TaylorsVersion_
Change_TaylorsVersion_,Fearless_TaylorsVersion_
Breathe_TaylorsVersion_,Fearless_TaylorsVersion_
Untouchable_TaylorsVersion_,Fearless_TaylorsVersion_
Fearless_TaylorsVersion_,Fearless_TaylorsVersion_
DontYou_TaylorsVersion__FromtheVault_,Fearless_TaylorsVersion_
JumpThenFall_TaylorsVersion_,Fearless_TaylorsVersion_
ThatsWhen_TaylorsVersion__FromtheVault_,Fearless_TaylorsVersion_
ComeInWithTheRain_TaylorsVersion_,Fearless_TaylorsVersion_
TellMeWhy_TaylorsVersion_,Fearless_TaylorsVersion_
YoureNotSorry_TaylorsVersion_,Fearless_TaylorsVersion_
YouBelongWithMe_TaylorsVersion_,Fearless_TaylorsVersion_
ByeByeBaby_TaylorsVersion__FromtheVault_,Fearless_TaylorsVersion_
Forever_Always_PianoVersion__TaylorsVersion_,Fearless_TaylorsVersion_
TheBestDay_TaylorsVersion_,Fearless_TaylorsVersion_
LoveStory_TaylorsVersion__ElviraRemix_,Fearless_TaylorsVersion_
TheOtherSideoftheDoor_TaylorsVersion_,Fearless_TaylorsVersion_
TheWayILovedYou_TaylorsVersion_,Fearless_TaylorsVersion_
WhiteHorse_TaylorsVersion_,Fearless_TaylorsVersion_
Forever_Always_TaylorsVersion_,Fearless_TaylorsVersion_
WeWereHappy_TaylorsVersion__FromtheVault_,Fearless_TaylorsVersion_
Mr_PerfectlyFine_TaylorsVersion__FromtheVault_,Fearless_TaylorsVersion_
LoveStory_TaylorsVersion_,Fearless_TaylorsVersion_
HeyStephen_TaylorsVersion_,Fearless_TaylorsVersion_
Fifteen_TaylorsVersion_,Fearless_TaylorsVersion_
Mr_PerfectlyFine_TaylorsVersion__FromtheVault_,Fearless_TaylorsVersion__TheFromtheVaultChapter
YouAllOverMe_TaylorsVersion__FromtheVault_,Fearless_TaylorsVersion__TheFromtheVaultChapter
WeWereHappy_TaylorsVersion__FromtheVault_,Fearless_TaylorsVersion__TheFromtheVaultChapter
DontYou_TaylorsVersion__FromtheVault_,Fearless_TaylorsVersion__TheFromtheVaultChapter
ByeByeBaby_TaylorsVersion__FromtheVault_,Fearless_TaylorsVersion__TheFromtheVaultChapter
ThatsWhen_TaylorsVersion__FromtheVault_,Fearless_TaylorsVersion__TheFromtheVaultChapter
WhiteHorse_TaylorsVersion_,Fearless_TaylorsVersion__TheHalfwayOuttheDoorChapter
YoureNotSorry_TaylorsVersion_,Fearless_TaylorsVersion__TheHalfwayOuttheDoorChapter
Mr_PerfectlyFine_TaylorsVersion__FromtheVault_,Fearless_TaylorsVersion__TheHalfwayOuttheDoorChapter
Forever_Always_TaylorsVersion_,Fearless_TaylorsVersion__TheHalfwayOuttheDoorChapter
Breathe_TaylorsVersion_,Fearless_TaylorsVersion__TheHalfwayOuttheDoorChapter
TheOtherSideoftheDoor_TaylorsVersion_,Fearless_TaylorsVersion__TheHalfwayOuttheDoorChapter
Forever_Always_TaylorsVersion_,Fearless_TaylorsVersion__TheIRememberWhatYouSaidLastNightChapter
TellMeWhy_TaylorsVersion_,Fearless_TaylorsVersion__TheIRememberWhatYouSaidLastNightChapter
YouBelongWithMe_TaylorsVersion_,Fearless_TaylorsVersion__TheIRememberWhatYouSaidLastNightChapter
LoveStory_TaylorsVersion_,Fearless_TaylorsVersion__TheIRememberWhatYouSaidLastNightChapter
Change_TaylorsVersion_,Fearless_TaylorsVersion__TheIRememberWhatYouSaidLastNightChapter
Fearless_TaylorsVersion_,Fearless_TaylorsVersion__TheIRememberWhatYouSaidLastNightChapter
HeyStephen_TaylorsVersion_,Fearless_TaylorsVersion__TheKissingInTheRainChapter
ComeInWithTheRain_TaylorsVersion_,Fearless_TaylorsVersion__TheKissingInTheRainChapter
Superstar_TaylorsVersion_,Fearless_TaylorsVersion__TheKissingInTheRainChapter
TodayWasaFairytale_TaylorsVersion_,Fearless_TaylorsVersion__TheKissingInTheRainChapter
Fifteen_TaylorsVersion_,Fearless_TaylorsVersion__TheKissingInTheRainChapter
TheWayILovedYou_TaylorsVersion_,Fearless_TaylorsVersion__TheKissingInTheRainChapter
illicitaffairs,Folklore
mirrorball,Folklore
cardigan,Folklore
betty,Folklore
august,Folklore
peace,Folklore
mytearsricochet,Folklore
epiphany,Folklore
hoax,Folklore
invisiblestring,Folklore
seven,Folklore
thelastgreatamericandynasty,Folklore
thisismetrying,Folklore
exile,Folklore
the1,Folklore
madwoman,Folklore
LavenderHaze_SnakehipsRemix_,LavenderHaze_Remixes_
LavenderHaze_JungleRemix_,LavenderHaze_Remixes_
LavenderHaze_FelixJaehnRemix_,LavenderHaze_Remixes_
LavenderHaze_TensnakeRemix_,LavenderHaze_Remixes_
LavenderHaze,LavenderHaze_Remixes_
Daylight,Lover
PaperRings,Lover
FalseGod,Lover
TheMan,Lover
IForgotThatYouExisted,Lover
CruelSummer,Lover
ItsNicetoHaveaFriend,Lover
MissAmericana_TheHeartbreakPrince,Lover
LondonBoy,Lover
IThinkHeKnows,Lover
Afterglow,Lover
SoonYoullGetBetter,Lover
TheArcher,Lover
CorneliaStreet,Lover
YouNeedToCalmDown,Lover
ME_,Lover
DeathbyaThousandCuts,Lover
Lover,Lover
DeathbyaThousandCuts_LivefromParis_,Lover_LiveFromParis_HeartShapedVinyl
YouNeedToCalmDown_LivefromParis_,Lover_LiveFromParis_HeartShapedVinyl
TheArcher_LivefromParis_,Lover_LiveFromParis_HeartShapedVinyl
CorneliaStreet_LivefromParis_,Lover_LiveFromParis_HeartShapedVinyl
Lover_LivefromParis_,Lover_LiveFromParis_HeartShapedVinyl
Daylight_LivefromParis_,Lover_LiveFromParis_HeartShapedVinyl
ME__LivefromParis_,Lover_LiveFromParis_HeartShapedVinyl
TheMan_LiveFromParis_,Lover_LiveFromParis_HeartShapedVinyl
MessageInABottle_TaylorsVersion__FromtheVault_,MessageInABottle_FatMaxGRemix__TaylorsVersion_
MessageInABottle_TaylorsVersion__FatMaxGRemix_,MessageInABottle_FatMaxGRemix__TaylorsVersion_
LavenderHaze,Midnights
Karma,Midnights
SweetNothing,Midnights
VigilanteShit,Midnights
SnowOnTheBeach,Midnights
Mastermind,Midnights
Maroon,Midnights
MidnightRain,Midnights
YoureOnYourOwn_Kid,Midnights
Question____,Midnights
Labyrinth,Midnights
Anti_Hero,Midnights
Bejeweled,Midnights
Question____,Midnights_3amEdition_
Mastermind,Midnights_3amEdition_
BiggerThanTheWholeSky,Midnights_3amEdition_
Wouldve_Couldve_Shouldve,Midnights_3amEdition_
LavenderHaze,Midnights_3amEdition_
Labyrinth,Midnights_3amEdition_
Maroon,Midnights_3amEdition_
TheGreatWar,Midnights_3amEdition_
HighInfidelity,Midnights_3amEdition_
VigilanteShit,Midnights_3amEdition_
Paris,Midnights_3amEdition_
Bejeweled,Midnights_3amEdition_
Anti_Hero,Midnights_3amEdition_
SnowOnTheBeach,Midnights_3amEdition_
DearReader,Midnights_3amEdition_
YoureOnYourOwn_Kid,Midnights_3amEdition_
MidnightRain,Midnights_3amEdition_
Karma,Midnights_3amEdition_
SweetNothing,Midnights_3amEdition_
Glitch,Midnights_3amEdition_
MidnightRain,Midnights_AppleMusicExclusive_
Labyrinth,Midnights_AppleMusicExclusive_
Maroon,Midnights_AppleMusicExclusive_
Meetmeatmidnight,Midnights_AppleMusicExclusive_
SnowOnTheBeach,Midnights_AppleMusicExclusive_
Bejeweled,Midnights_AppleMusicExclusive_
LavenderHaze,Midnights_AppleMusicExclusive_
Karma,Midnights_AppleMusicExclusive_
Question____,Midnights_AppleMusicExclusive_
Anti_Hero,Midnights_AppleMusicExclusive_
YoureOnYourOwn_Kid,Midnights_AppleMusicExclusive_
VigilanteShit,Midnights_AppleMusicExclusive_
Mastermind,Midnights_AppleMusicExclusive_
SweetNothing,Midnights_AppleMusicExclusive_
Question____,Midnights_TargetExclusive_
Mastermind,Midnights_TargetExclusive_
Anti_Hero,Midnights_TargetExclusive_
SweetNothing_PianoRemix_,Midnights_TargetExclusive_
Maroon,Midnights_TargetExclusive_
Karma,Midnights_TargetExclusive_
SnowOnTheBeach,Midnights_TargetExclusive_
Labyrinth,Midnights_TargetExclusive_
LavenderHaze,Midnights_TargetExclusive_
HitsDifferent,Midnights_TargetExclusive_
YoureOnYourOwn_Kid,Midnights_TargetExclusive_
VigilanteShit,Midnights_TargetExclusive_
YoureOnYourOwn_Kid_StringsRemix_,Midnights_TargetExclusive_
Bejeweled,Midnights_TargetExclusive_
SweetNothing,Midnights_TargetExclusive_
MidnightRain,Midnights_TargetExclusive_
LavenderHaze,Midnights_TheLateNightEdition_
Maroon,Midnights_TheLateNightEdition_
SadBeautifulTragic,Red
Starlight,Red
StayStayStay,Red
WeAreNeverEverGettingBackTogether,Red
IAlmostDo,Red
Treacherous,Red
GirlatHome,Red
TheMomentIKnew,Red
AllTooWell,Red
ComeBack___BeHere,Red
Red,Red
HolyGround,Red
EverythingHasChanged,Red
StateofGrace,Red
BeginAgain,Red
TheLastTime,Red
IKnewYouWereTrouble,Red
TheLuckyOne,Red
22,Red
NothingNew_TaylorsVersion__FromtheVault_,Red_TaylorsVersion_
TheMomentIKnew_TaylorsVersion_,Red_TaylorsVersion_
BetterMan_TaylorsVersion__FromtheVault_,Red_TaylorsVersion_
Run_TaylorsVersion__FromtheVault_,Red_TaylorsVersion_
BeginAgain_TaylorsVersion_,Red_TaylorsVersion_
Treacherous_TaylorsVersion_,Red_TaylorsVersion_
TheLastTime_TaylorsVersion_,Red_TaylorsVersion_
SadBeautifulTragic_TaylorsVersion_,Red_TaylorsVersion_
HolyGround_TaylorsVersion_,Red_TaylorsVersion_
22_TaylorsVersion_,Red_TaylorsVersion_
WeAreNeverEverGettingBackTogether_TaylorsVersion_,Red_TaylorsVersion_
TheVeryFirstNight_TaylorsVersion__FromtheVault_,Red_TaylorsVersion_
ComeBack___BeHere_TaylorsVersion_,Red_TaylorsVersion_
TheLuckyOne_TaylorsVersion_,Red_TaylorsVersion_
GirlAtHome_TaylorsVersion_,Red_TaylorsVersion_
StateOfGrace_AcousticVersion__TaylorsVersion_,Red_TaylorsVersion_
EverythingHasChanged_TaylorsVersion_,Red_TaylorsVersion_
AMessageFromTaylor,Red_TaylorsVersion_
Starlight_TaylorsVersion_,Red_TaylorsVersion_
Red_TaylorsVersion_,Red_TaylorsVersion_
AllTooWell_TaylorsVersion_,Red_TaylorsVersion_
Ronan_TaylorsVersion_,Red_TaylorsVersion_
MessageInABottle_TaylorsVersion__FromtheVault_,Red_TaylorsVersion_
IKnewYouWereTrouble_TaylorsVersion_,Red_TaylorsVersion_
Babe_TaylorsVersion__FromtheVault_,Red_TaylorsVersion_
